date,customer_id,product,region,channel,quantity,unit_price,discount,revenue,csat_score,churn
2021-01-01,CUST0284,Watch,South,Retail,13,15000,0.03,189150.0,2,1
2021-01-02,CUST0277,Earbuds,West,Online,1,5000,0.2,4000.0,4,0
2021-01-03,CUST0107,Tablet,South,Online,3,25000,0.22,58500.0,5,0
2021-01-04,CUST0146,Earbuds,West,Retail,4,5000,0.04,19200.0,3,1
2021-01-05,CUST0099,Earbuds,South,Online,11,5000,0.21,43450.0,4,0
2021-01-06,CUST0073,Phone,East,Retail,11,35000,0.25,288750.0,3,0
2021-01-07,CUST0122,Tablet,North,Partner,5,25000,0.18,102500.0,5,0
2021-01-08,CUST0030,Tablet,East,Online,3,25000,0.2,60000.0,5,0
2021-01-09,CUST0188,Tablet,North,Retail,6,25000,0.25,112500.0,5,0
2021-01-10,CUST0288,Earbuds,West,Partner,11,5000,0.15,46750.0,4,0
2021-01-11,CUST0195,Watch,East,Partner,14,15000,0.08,193200.0,5,0
2021-01-12,CUST0156,Tablet,South,Retail,12,25000,0.21,237000.0,4,0
2021-01-13,CUST0172,Earbuds,North,Online,5,5000,0.15,21250.0,4,0
2021-01-14,CUST0041,Phone,North,Retail,3,35000,0.15,89250.0,5,1
2021-01-15,CUST0063,Watch,East,Partner,6,15000,0.06,84600.0,4,0
2021-01-16,CUST0023,Phone,West,Retail,6,35000,0.19,170100.0,2,1
2021-01-17,CUST0075,Watch,East,Online,14,15000,0.02,205800.0,2,1
2021-01-18,CUST0048,Earbuds,West,Partner,8,5000,0.23,30800.0,2,1
2021-01-19,CUST0160,Laptop,West,Retail,2,75000,0.08,138000.0,5,0
2021-01-20,CUST0118,Watch,North,Online,1,15000,0.03,14550.0,4,1
2021-01-21,CUST0100,Phone,East,Partner,4,35000,0.11,124600.0,5,0
2021-01-22,CUST0167,Earbuds,East,Online,7,5000,0.01,34650.0,4,1
2021-01-23,CUST0290,Watch,West,Partner,11,15000,0.17,136950.0,3,0
2021-01-24,CUST0156,Laptop,East,Retail,10,75000,0.23,577500.0,3,1
2021-01-25,CUST0007,Laptop,South,Online,3,75000,0.21,177750.0,5,0
2021-01-26,CUST0196,Tablet,South,Partner,3,25000,0.03,72750.0,4,1
2021-01-27,CUST0056,Tablet,East,Online,5,25000,0.03,121250.0,5,1
2021-01-28,CUST0193,Phone,East,Online,5,35000,0.2,140000.0,4,0
2021-01-29,CUST0047,Watch,West,Retail,13,15000,0.23,150150.0,4,0
2021-01-30,CUST0148,Watch,South,Online,10,15000,0.12,132000.0,4,0
2021-01-31,CUST0275,Tablet,South,Partner,3,25000,0.12,66000.0,5,0
2021-02-01,CUST0157,Watch,North,Partner,9,15000,0.08,124200.0,5,0
